Restaurant,Location_Name,Location code,Restaurant GUID
Anita's New Mexico Style,Arlington,11,a7f58b07-b580-423d-b134-1adce6c1a101
Anita's New Mexico Style,Burke,03,a8fca439-e7e7-4c1d-822c-676cf2b9349f
Anita's New Mexico Style,Herndon,05,9265e0ef-51fa-4db2-bfdf-259e244d1deb
Anita's New Mexico Style,Leesburg,04,72f02357-1b91-4217-af77-6781b5df066d
Anita's New Mexico Style,Vienna,07,cf53878a-9cfd-49c6-9b83-fbe97ec36705
Anita's New Mexico Style,Ashburn,09,2836849b-2931-4313-8c67-703c30ebf532
Anita's New Mexico Style,Chantilly,06,4bf09b85-d844-472f-b26e-2fad1c8038b2
Anita's New Mexico Style,Fairfax,02,35640a33-22e0-4ab3-97ab-3fbf9a483947
Anita's New Mexico Style,Manassas,10,6d85f179-d7c2-4f25-a1b5-f33197a802bc
Anita's New Mexico Style,Springfield,08,ffcab0b5-ce14-465c-aa0a-7411cf623b65
